type,source_url,local_path,bytes,status
asset,https://www.ochodnica.sk/img/content/logo.png,assets/migrated/images/1c5ac9f7c63c_logo.png,10821,200
asset,https://www.ochodnica.sk/img/thumbnails/big/1788357816.jpg,assets/migrated/images/cff679ba4ef0_1788357816.jpg,110830,200
asset,https://www.ochodnica.sk/img/thumbnails/big/@2x1788357816.jpg,assets/migrated/images/2c3d6df604cd__2x1788357816.jpg,328640,200
asset,https://www.ochodnica.sk/img/thumbnails/small/1788186635.jpg,assets/migrated/images/449ae57bf0ae_1788186635.jpg,46178,200
asset,https://www.ochodnica.sk/img/thumbnails/big/@2x1788186635.jpg,assets/migrated/images/276bfd71be42__2x1788186635.jpg,277892,200
asset,https://www.ochodnica.sk/img/thumbnails/small/1787753909.jpg,assets/migrated/images/2ad692953cd4_1787753909.jpg,22238,200
asset,https://www.ochodnica.sk/img/thumbnails/big/@2x1787753909.jpg,assets/migrated/images/1059767bb4cd__2x1787753909.jpg,99254,200
asset,https://www.ochodnica.sk/img/thumbnails/small/1787753488.jpg,assets/migrated/images/06a005d1610d_1787753488.jpg,47009,200
asset,https://www.ochodnica.sk/img/thumbnails/big/@2x1787753488.jpg,assets/migrated/images/ad3de9f0f931__2x1787753488.jpg,298902,200
asset,https://www.ochodnica.sk/img/thumbnails/small/1787744014.jpg,assets/migrated/images/0408b52f099b_1787744014.jpg,44063,200
asset,https://www.ochodnica.sk/img/thumbnails/big/@2x1787744014.jpg,assets/migrated/images/e28dcc128120__2x1787744014.jpg,250358,200
asset,https://www.ochodnica.sk/img/thumbnails/small/1787644770.jpg,assets/migrated/images/4ebcdeee6359_1787644770.jpg,36638,200
asset,https://www.ochodnica.sk/img/thumbnails/big/@2x1787644770.jpg,assets/migrated/images/04145a444c32__2x1787644770.jpg,277730,200
asset,https://www.ochodnica.sk/img/volby-obec-2026.jpg,assets/migrated/images/8948d53a640a_volby-obec-2026.jpg,46802,200
asset,https://www.ochodnica.sk/img/content/icon-organizacie.svg,assets/migrated/images/d4a014b3278f_icon-organizacie.svg,1621,200
asset,https://www.ochodnica.sk/sk/novinky-z-obce/2021/stiahnite-si-ochodnicu-do-svojho-mobilu.html,assets/migrated/misc/d15aae8208b3_stiahnite-si-ochodnicu-do-svojho-mobilu.html,43526,200
asset,https://www.ochodnica.sk/img/content/icon-speech.svg,assets/migrated/images/a2b90d4fe4db_icon-speech.svg,978,200
asset,https://www.ochodnica.sk/img/content/icon-recycle.svg,assets/migrated/images/8dbfe1b96a0a_icon-recycle.svg,1106,200
asset,https://www.ochodnica.sk/sk/subory/tlaciva-na-stiahnutie,assets/migrated/misc/a4ef35ea55b0_tlaciva-na-stiahnutie.html,51968,200
asset,https://www.ochodnica.sk/img/content/icon-download.svg,assets/migrated/images/541033d82423_icon-download.svg,798,200
asset,https://www.ochodnica.sk/img/content/icon-browser.svg,assets/migrated/images/bf5ee8c3798e_icon-browser.svg,782,200
asset,https://www.ochodnica.sk/img/content/icon-bus.svg,assets/migrated/images/f233cee7dce2_icon-bus.svg,955,200
asset,https://www.ochodnica.sk/files/downloads/okletak.pdf,assets/migrated/documents/eb901996caee_okletak.pdf,9114812,200
asset,https://www.ochodnica.sk/files/uploads/okletak-m.jpg,assets/migrated/images/f44801e017c0_okletak-m.jpg,61333,200
